Springfield Devs,,,,,,,,,
Journal,,,,,,,,,
"January - June, 2021",,,,,,,,,
,,,,,,,,,
,Date,Transaction Type,Num,Adj,Name,Memo/Description,Account,Debit,Credit
,01/01/2021,Bill,,No,Zoom Video,,Accounts Payable (A/P),,14.99  
,,,,No,,Zoom Pro Monthly Subscription,Devs:Devs Software & Hosting,14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,01/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,01/04/2021,Expenditure,636334269,No,Amazon Web Services,,Devs Checking (7527),,10.29  
,,,,No,,,Devs:Devs Software & Hosting,10.29  ,
,,,,,,,,$10.29  ,$10.29  
,,,,,,,,,
,01/04/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),,14.99  
,,,,No,,,Accounts Payable (A/P),14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,01/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,01/06/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,01/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,02/01/2021,Bill,,No,Zoom Video,,Accounts Payable (A/P),,14.99  
,,,,No,,Zoom Pro Monthly Subscription,Devs:Devs Software & Hosting,14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,02/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,02/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,02/01/2021,Check,2001,No,Pillar Insurance Springfield,,Devs Checking (7527),,"1,148.00  "
,,,,No,,Check               2001,Devs:Devs Insurance,"1,148.00  ",
,,,,,,,,"$1,148.00  ","$1,148.00  "
,,,,,,,,,
,02/02/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),,14.99  
,,,,No,,,Accounts Payable (A/P),14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,02/04/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,10.22  
,,,,No,,AMAZON WEB SERVICES DBT CRD 2058 02/04/21 DBU05BHI,Devs:Devs Software & Hosting,10.22  ,
,,,,,,,,$10.22  ,$10.22  
,,,,,,,,,
,02/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
